1302|1000|Practice Weapon|练习用武器|Lacking in the power department, but better than nothing.|不能期待它有多高的攻击力，不过总比没有的好。
14276|1226|Two-Handed Sword|侦猎刀|[STR+250]\nA broadsword made from scratch using an ancient method.|【STR+250】\n　以传统工艺锻造的宽刃大剑。
14368|1227|Antler Sword|最终改装刀|[STR+350]\nA rare two-handed sword made using a giant monster horn.|【STR+350】\n　用魔兽的大角制作的稀有巨剑。
14457|1228|NON_ITEM|NON_ITEM|[STR+450]\nUnused|【STR+450】\n　未使用
14492|1229|Rustic Sword|碎铁|[STR+550]\nA two-handed sword favored by the military. Crude but strong.|【STR+550】\n　帝国军专用的大剑，虽然品质低劣但重量一流。
14586|1230|Kumo no Tachi|蜘蛛太刀|[STR+650/DEX-10]\nA longsword with a long, narrow blade.|【STR+650】\n　刀身细长的太刀，战斗时候有种几乎被曳断的感觉。
14665|1231|Hard Rock|坚石|[STR+750]\nA giant two-handed sword made painstakingly from hard rock.|【STR+750】\n　正如其名，是用坚硬的岩石精心加工制成的巨剑。
14754|1232|Dragonsbane|龙魔|[STR+850]\nA sword loved by a mercenary who lived during the Middle Ages.|【STR+850】\n　中世纪奔走于战场之间的传说中的佣兵常用剑。
14848|1233|Apeiron|无限者|[STR+950/DEX-15]\nA two-handed sword with a transparent edge to confuse foes.|【STR+950】\n　于巨大刀身上加工有透明刀刃，用来迷惑敌人的双手剑。
14942|1234|Galatyn|魔切剑|[STR+1050]\nA mysterious sword that converts sunlight into power.|【STR+1050】\n　神秘的宝剑，能将太阳光蓄于刀身并转化为装备者的力量。
15024|1235|Hihiirokane Sword|绯红之剑|[STR+1150]\nAn ancient scarlet blade that can no longer be made.|【STR+1150】\n　闪耀着绯红色的古代剑，使用的材质和工艺都已不复存在。
15115|1236|Apocrypha|外典|[STR+1250/DEX-20]\nA monstrous, red two-handed sword with a dragon emblem on it.|【STR+1250】\n　一把不祥的红黑色大剑，刻有龙的纹章。
15214|1237|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
15259|1238|Pendragon|龙王|[STR+900/DEX+5/AGL+10]\nOnce a traveler's. A broken holy sword that is still huge.|【STR+900】\n　旅行者遗失的物品，已经折断的一把巨大圣剑剑柄。
15360|1239|Pendragon+1|龙王+1|[STR+1100/DEX+10/AGL+15]\nOnce a traveler's. A broken holy sword that is still huge.|【STR+1100】\n　旅行者遗失的物品，已经折断的一把巨大圣剑剑柄。
15465|1240|Pendragon+2|龙王+2|[STR+1350/DEX+15/AGL+20]\nOnce a traveler's. A broken holy sword that is still huge.|【STR+1200】\n　旅行者遗失的物品，已经折断的一把巨大圣剑剑柄。
15570|1241|Dino Fossil|动力化石剑|[STR+1550/DEX+20/AGL+25]\nA two-handed sword with a distorted blade. Made of strange ore.|【STR+1550】\n　将谜之矿石精炼技术发挥至极点，锻造出的歪斜刀身大剑。
15680|1242|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
15725|1243|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
15770|1244|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
15815|1245|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
15860|1246|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
15905|1247|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
15950|1248|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
15995|1249|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
16040|1250|--|--| | 
16053|1251|--|--| | 
16066|1252|--|--| | 
16079|1253|--|--| | 
16092|1254|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
16137|1255|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
16182|1256|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
16227|1257|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
16272|1258|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
16317|1259|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
16362|1260|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
16407|1261|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
16452|1262|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
16497|1263|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
16542|1264|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
16587|1265|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
16632|1266|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
16677|1267|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
16722|1268|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
16767|1269|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
16812|1270|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
16857|1271|Hybrid-D|混合炮Ｄ|[STR+100/RNG+4/Area (S)]\nA tool used by ZCF engineers customized as an orbal cannon.|【STR+100 RNG+4 范围：小圆】\n　将中央工房技师使用的工具改造制成的导力炮。
16960|1272|G-03|Ｇ－０３|[STR+200/RNG+4/Area (S)]\nA low-recoil orbal cannon developed at ZCF.|【STR+200 RNG+4 范围：小圆】\n　蔡斯中央工房开发的低反冲力导力炮。
17043|1273|Parabola Cannon|抛物法则|[STR+300/RNG+4/Area (S)]\nA laser-like orbal cannon developed as a prototype at ZCF.|【STR+300 RNG+4 范围：小圆】\n　中央工房开发的试验产品，激光型导力炮。
17152|1274|Stun GB|晕眩ＧＢ|[STR+400/RNG+5/Area (S)]\nA small orbal cannon made by Reinford. Marketed toward civilians.|【STR+400 RNG+5 范围：小圆】\n　帝国莱恩福尔特社开发的产品，面向百姓的最小型导力炮。
17260|1275|UG-01|ＵＧ－０１|[STR+500/RNG+4/Area (S)]\nA next-generation ZCF product that builds on the G-Series.|【STR+500 RNG+4 范围：小圆】\n　Ｇ系列的强化型号，中央工房将来的主力产品。
17359|1276|R-Launcher|Ｒ发射器|[STR+600/RNG+4/Area (S)]\nA mid-size orbal cannon with high power and instant charging.|【STR+600 RNG+4 范围：小圆】\n　同时实现了高输出功率和即刻填充能量的中型导力炮。
17466|1277|Gatling Gear|加特林机关炮|[STR+700/RNG+5/Area (S)]\nA prototype orbal cannon made by Reinford for suppression.|【STR+700 RNG+5 范围：小圆】\n　用于镇压战的导力炮，帝国莱恩福尔特社开发的实验品。
17572|1278|UG-02|ＵＧ－０２|[STR+800/RNG+4/Area (S)]\nThe latest model in the UG series. Can be mounted.|【STR+800 RNG+4 范围：小圆】\n　ＵＧ系列的最新型号，可以装备于移动炮台。
17663|1279|Sentinel|哨兵|[STR+900/RNG+4/Area (S)]\nA restoration of a weapon found inside an ancient ruin.|【STR+900 RNG+4 范围：小圆】\n　将从古代文明遗迹中找到的兵器修复而成的导力炮。
17762|1280|Grand Slam|大满贯|[STR+1000/RNG+5/Area (S)]\nAn antique cannon made using a combustion engine.|【STR+1000 RNG+5 范围：小圆】\n　用内燃引擎制造，不明制造商生产的古董炮。
17858|1281|Disaster Cannon|天灾|[STR+1100/RNG+4/Area (S)]\nLeft by the ancients. One shot bores several holes.|【STR+1100 RNG+4 范围：小圆】\n　古代文明遗留的兵器，一击即可轰穿数个地洞。
17961|1282|Vritra-han|灾厄巨蟒|[STR+1200/RNG+5/Area (S)]\nA destructive weapon meaning 'destroyer of Vritra.'|【STR+1200 RNG+5 范围：小圆】\n　象征『龙的咆哮』，可以跨越次元的破坏性兵器。
18059|1283|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
18104|1284|Merciless Rocket|陈旧火箭炮|[STR+850/RNG+5/ADF+5/DEX+20/SPD+5/Area (M)\nOnce a traveler's. An orbal cannon for all situations.|【STR+850 RNG+5 范围：大圆】\n　旅行者遗失的物品，可以应付一切情况的导力炮。
18228|1285|Merciless Rocket+1|陈旧火箭炮+1|[STR+950/RNG+5/ADF+10/DEX+30/SPD+5/Area (M)]\nOnce a traveler's. An orbal cannon for all situations.|【STR+950 RNG+5 范围：大圆】\n　旅行者遗失的物品，可以应付一切情况的导力炮。
18356|1286|Merciless Rocket+2|陈旧火箭炮+2|[STR+1300/RNG+5/ADF+15/DEX+40/SPD+5/Area (M)\nOnce a traveler's. An orbal cannon for all situations.|【STR+1150 RNG+5 范围：大圆】\n　旅行者遗失的物品，可以应付一切情况的导力炮。
18484|1287|Meltdown Buster|溶化破坏者|[STR+1500/RNG+5/DEF/ATS/SPD+10/ADF+20/DEX+50/Area (M)]\nA deadly orbal cannon made from strange ore that melts space.|【STR+1500 RNG+5 范围：大圆】\n　以谜之矿石精炼而成，能将空间熔化的导力炮。
18626|1288|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
18671|1289|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
18716|1290|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
18761|1291|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
18806|1292|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
18851|1293|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
18896|1294|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
18941|1295|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
18986|1296|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
19031|1297|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
19076|1298|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
19121|1299|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
19166|1300|--|--| | 
19179|1301|--|--| | 
19192|1302|--|--| | 
19205|1303|--|--| | 
19218|1304|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
19263|1305|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
19308|1306|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
19353|1307|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
19398|1308|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
19443|1309|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
19488|1310|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
19533|1311|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
19578|1312|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
19623|1313|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
19668|1314|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
19713|1315|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
19758|1316|Steel Arms|钢臂|[STR+450]\nSteel gauntlets made with thick metal plating.|【STR+450】\n　以相当厚的铁板鞣制而成的钢铁护手。
19835|1317|NON_ITEM|NON_ITEM|[STR+550]\nUnused.|【STR+550】\n　未使用。
19871|1318|Tiger Knuckles|虎钩爪|[STR+650]\nClaws modeled on a tiger's. The back of them is deadly, too.|【STR+650】\n　仿制虎爪制成的带刺钩爪，带有荆棘的拳背也强劲有力。
19966|1319|Kaiser Knuckles|王者指套|[STR+750/DEX+5/SPD+5]\nGloves that draw out the user's power with a special seal.|【STR+750】\n　标示气流的刻印可以充分发挥出装备者力量的武术手套。
20072|1320|Purity Fists|雪花石甲|[STR+850]\nPure-white gauntlets that forbid the shedding of blood.|【STR+850】\n　可以有效防止流血的纯白护臂。
20160|1321|Moon Claws|月轮爪|[STR+950]\nClaws modeled on bear arms. Black fur covers up to the elbow.|【STR+950】\n　仿制熊掌的钩爪护腕，黑色的毛皮可以覆盖到肘部。
20252|1322|Gold Crests|黄金冠|[STR+1050/DEX+10/SPD+5]\nGolden gauntlets from the East. Ornamental yet strong.|【STR+1050】\n　由东方传来的金制护腕，装饰度与硬度得到了很好的平衡。
20352|1323|Omen Breakers|破碎预兆|[STR+1150/DEX+15/SPD+10]\nAncient gauntlets that destroy foes from within.|【STR+1150】\n　不会给敌人留下外伤，会直接对敌人造成内伤的古代护腕。
20449|1324|Acalanatha|不动明王|[STR+1250/DEX+20/SPD+15]\nGauntlets made from the earth of a sacred mountain in Calvard.|【STR+1250】\n　用被共和国视为神圣的灵峰之土制成的护腕。
20557|1325|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
20602|1326|Iron Arms|铁臂|[STR+1000/DEX+30/SPD+10]\nOnce a traveler's. The arms of a lost Goddess statue.|【STR+1000】\n　旅行者遗失的物品，失落的女神像双臂。
20700|1327|Iron Arms+1|铁臂+1|[STR+1350/DEX+35/SPD+20]\nOnce a traveler's. The arms of a lost Goddess statue.|【STR+1200】\n　旅行者遗失的物品，失落的女神像双臂。
20800|1328|Tetra Monsters|四圣兽|[STR+1550/DEX+40/SPD+25]\nMade from strange ore. Give off four colors of light.|【STR+1550】\n　以谜之矿石精炼而成，绽放着四色光芒的护腕。
20903|1329|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
20948|1330|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
20993|1331|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
21038|1332|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
21083|1333|--|--| | 
21096|1334|--|--| | 
21109|1335|--|--| | 
21122|1336|--|--| | 
21135|1337|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
21180|1338|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
21225|1339|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
21270|1340|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
21315|1341|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
21360|1342|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
21405|1343|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
21450|1344|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
21495|1345|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
21540|1346|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
21585|1347|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
21630|1348|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
21675|1349|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
21720|1350|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
21765|1351|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
21810|1352|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
21855|1353|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
21900|1354|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
21945|1355|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
21990|1356|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
22035|1357|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
22080|1358|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
22125|1359|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
22170|1360|                |                |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
22215|1361|Ritter Bow|骑士弓|[STR+100/RNG+4]\nA standard-issue bowgun in the Septian Church.|【STR+100 RNG+4】\n　七耀教会分发给星杯骑士使用的自动弓。
22298|1362|Aqua Bow|喷射弓|[STR+200/RNG+4]\nA prototype bow by Verne that shoots pressurized water.|【STR+200 RNG+4】\n　喷射高压水柱的弓，共和国乌尔努社的试验品。
22388|1363|Hound Bow|猎犬|[STR+300/RNG+5]\nA mass-market bowgun popular with jaegers.|【STR+300 RNG+5】\n　猎兵团团员喜欢使用的量产型自动弓。
22466|1364|Soliste Bow|独奏弓|[STR+400/RNG+5]\nA bowgun designed for solo warriors. Excels at firing fast.|【STR+400 RNG+5】\n　为了单独行动而设计的，连射性能很强的自动弓。
22563|1365|Aion Bow|魔弓永世|[STR+500/RNG+6/ATS+25/DEX+15]\nA well-used, jet-black bow. Clearly well maintained.|【STR+500 RNG+6】\n　敝旧的漆黑自动弓，整修的痕迹相当明显。
22664|1366|Invisible Bow|无形弩|[STR+600/RNG+5]\nFor assassinations. Can be easily concealed in one's coat.|【STR+600 RNG+5】\n　可以隐藏于衣服内侧的暗器型弩。
22762|1367|Juggernaut|巨型弩|[STR+700/RNG+6/ATS+50/DEX+20]\nA giant bow from the end of the Middle Ages.|【STR+700 RNG+6】\n　曾一举改写战争格局，中世纪末期制造的巨型弓。
22857|1368|Sherwood|森林弓|[STR+800/RNG+6]\nA bow made from a great tree's wood. Arrows fly a unique way.|【STR+800 RNG+6】\n　用大树切削制成的弓，其射出的箭矢轨迹独特。
22953|1369|Eclipse Gear|日食弓|[STR+900/RNG+6]\nBowgun that leaves wounds shaped to be difficult to heal.|【STR+900 RNG+6】\n　一种自动弓，其所用箭矢的特殊构造使得伤口不易愈合。
23049|1370|Punisher|惩罚者|[STR+1000/RNG+7/ATS+75/DEX+25]\nMade by traditional Arterian methods using processed septium.|【STR+1000 RNG+7】\n　以法典国传统工艺加工七耀石制成的弓。
23160|1371|Purgatorio|炼狱|[STR+1100/RNG+7/ATS+100/DEX+30]\nAn ancient bowgun that makes a sound like a beating heart.|【STR+1100 RNG+7】\n　古代文明遗留的自动弓，其驱动音如同脉搏一般。
23271|1372|Cherished Bow|悲哀小丑|[STR+1200/RNG+8/ATS+125/DEX+35]\nA bow treasured by the church. Hits weak points without fail.|【STR+1200 RNG+8】\n　七耀教会珍藏的神弓，对要害部位百发百中。
23388|1373|          |          |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
23427|1374|Aster|紫苑|[STR+850/RNG+6/ATS+30/ADF+30/DEX+10]\nOnce a traveler's. A bow used by mountain dwellers.|【STR+850 RNG+6】\n　旅行者遗失的物品，山民使用的弓。
23531|1375|Aster+1|紫苑+1|[STR+950/RNG+7/ATS+40/ADF+40/DEX+20]\nOnce a traveler's. A bow used by mountain dwellers.|【STR+950 RNG+7】\n　旅行者遗失的物品，山民使用的弓。
23637|1376|Aster+2|紫苑+2|[STR+1300/RNG+8/ATS+50/ADF+50/DEX+30]\nOnce a traveler's. A bow used by mountain dwellers.|【STR+1150 RNG+8】\n　旅行者遗失的物品，山民使用的弓。
23744|1377|Septenary Bow|七七无穷射|[STR+1500/RNG+8/ATS+60/ADF+60/DEX+35]\nA bow made of strange ore that can fire unlimited arrows.|【STR+1500 RNG+8】\n　以谜之矿石精炼而成，箭矢取之不尽。
23863|1378|          |          |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
23902|1379|          |          |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
23941|1380|          |          |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
23980|1381|          |          |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
24019|1382|          |          |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
24058|1383|          |          |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
24097|1384|          |          |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
24136|1385|          |          |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
24175|1386|          |          |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
24214|1387|          |          |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
24253|1388|          |          |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
24292|1389|          |          |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
24331|1390|--|--| | 
24344|1391|--|--| | 
24357|1392|--|--| | 
24370|1393|--|--| | 
24383|1394|          |          |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
24422|1395|          |          |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
24461|1396|          |          |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
24500|1397|          |          |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
24539|1398|          |          |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
24578|1399|          |          |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
24617|1400|          |          |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
24656|1401|          |          |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
24695|1402|          |          |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
24734|1403|          |          |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
24773|1404|          |          |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
24812|1405|          |          |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
24851|1406|Tatara|玉石钢剑|[STR+450]\nA military katana ideal for close-range combat.|【STR+450】\n　白刃战时不可或缺的实战型军刀。
24925|1407|Amagumo|天云|[STR+650]\nA mass-market katana made in Calvard. Very good quality.|【STR+650】\n　卡尔瓦德的量产型刀具，质量也算上乘。
25009|1408|Subaru|昴宿|[STR+750]\nA katana made of meteoric iron. Gives off a pale light.|【STR+750】\n　以陨铁锻造的武器，刀身绽放着蓝白色光芒。
25091|1409|Ugetsu Zanshin|雨月残心|[STR+850]\nUnique blade with small holes made by a katana in its edges.|【STR+850】\n　锐利的镶边小穴贯穿整个刀身，稀有的刀具。
25186|1410|Yaegaki|八重垣|[STR+950]\nProduces haze in the air when drawn. Smells of alcohol.|【STR+950】\n　被冰冷酒气缠绕的宝刀，出鞘一霎会带起一片雾花。
25269|1411|Mumei Jittetsu|无铭十哲|[STR+1050]\nA boorish katana made with a 'strength over all' philosophy.|【STR+1050】\n　纯粹追求武器威力没有一丝风雅的剑。
25365|1412|Kagutsuchi|火之迦具土|[STR+1150]\nA blade forged by an ancient swordsmith with a flame design.|【STR+1150】\n　古代刀匠锻造的刀，刀身花纹摇曳，如飞舞的火焰一般。
25457|1413|Hakuryuu|白流|[STR+1250]\nSaid to be an avatar of an ancient holy beast.|【STR+1250】\n　古老的妖刀，从很久以前就被当作圣兽的化身。
25533|1414|           |           |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
25573|1415|Hotarukiri|萤切|[STR+1000/DEF/ATS/ADF/DEX/AGL+10/SPD+5]\nOnce a traveler's. Its blade attracts fireflies.|【STR+1000】\n　旅行者遗失的物品，刀身寄宿着闪烁微光的萤火虫。
25682|1416|Hotarukiri+1|萤切+1|[STR+1300/DEF/ATS/ADF/DEX/AGL+15/SPD+10]\nOnce a traveler's. Its blade attracts fireflies.|【STR+1150】\n　旅行者遗失的物品，刀身寄宿着闪烁微光的萤火虫。
25794|1417|Houkiboshi|彗星|[STR+1550/DEF/ATS/ADF/DEX/AGL+20/SPD+15]\nKatana made of a strange ore. You'll only see its afterimage.|【STR+1550】\n　以谜之矿石精炼而成，挥动时只能看到闪亮的刀身残像。
25917|1418|           |           |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
25957|1419|           |           |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
25997|1420|Fencer+1|--|[STR+100]\nA training sword critical for learning the basics.| 
26076|1421|Fencer+2|--|[STR+200]\nA training sword critical for learning the basics.| 
26155|1422|--|--| | 
26168|1423|--|--| | 
26181|1424|Jinu|利剑『迅羽』|[STR+1000/ATS/ADF+50/DEX+25/AGL/SPD+5/Anelace Only]\nAn old blade for training that once belonged to Cassius.|【STR+1000 亚妮拉丝专用】\n　伴随剑圣修行磨练的原训练用古刀。
26304|1425|Jinu|           |[STR+1600/ATS/ADF+150/DEX+100/AGL/SPD+25/Anelace Only]\nAn old blade for training that once belonged to Cassius.|【STR+0000】\n　NO_ITEM
26430|1426|           |           |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
26470|1427|           |           |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
26510|1428|           |           |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
26550|1429|           |           |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
26590|1430|           |           |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
26630|1431|           |           |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
26670|1432|           |           |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
26710|1433|           |           |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
26750|1434|           |           |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
26790|1435|           |           |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
26830|1436|           |           |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
26870|1437|           |           |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
26910|1438|           |           |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
26950|1439|           |           |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
26990|1440|           |           |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
27030|1441|           |           |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
27070|1442|           |           |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
27110|1443|           |           |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
27150|1444|           |           |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
27190|1445|           |           |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
27230|1446|           |           |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
27270|1447|           |           |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
27310|1448|           |           |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
27350|1449|           |           |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
27390|1450|           |           |[STR+0000]\nNO_ITEM|【STR+0000】\n　NO_ITEM
27430|1451|Plum Edge|紫红锐刃|[STR+100/RNG+2]\nA templar sword supplied by the Septian Church to squires.|【STR+100 RNG+2】\n　七耀教会分发给随从骑士使用的法剑。
27524|1452|Lunar Anthem|新月赞歌|[STR+200/RNG+2]\nA compact black templar sword used for assassinations.|【STR+200 RNG+2】\n　被涂成黑色的法剑，作为暗杀用的武器可藏匿于化妆盒中。
27617|1453|Septieme Nuit|七之夜|[STR+300/RNG+2]\nA templar sword that has been baptized. Grants peace to foes.|【STR+300 RNG+2】\n　受过洗礼的法剑，可以让被杀害的亡灵得到安息。
27718|1454|Holy Choir|圣歌|[STR+400/RNG+2]\nA sword dedicated to the church. Sounds like song when swung.|【STR+400 RNG+2】\n　供奉于教会的剑，挥动时的声音如同在鸣奏乐曲。
